problem_size,algorithm,mean,std
20,greedy_hybrid,2.12500017369166e-05,
20,greedy_value_density,1.8749997252598405e-06,
20,greedy_value_only,1.0410003596916795e-06,
20,greedy_weight_only,1.0420044418424368e-06,
20,improved_greedy,2.779200440272689e-05,
20,knapsack_dp,0.000563584006158635,
40,greedy_hybrid,3.645899414550513e-05,
40,greedy_value_density,2.291999408043921e-06,
40,greedy_value_only,1.7499987734481692e-06,
40,greedy_weight_only,1.7090060282498598e-06,
40,improved_greedy,6.27919944236055e-05,
40,knapsack_dp,0.0025065419904422015,
60,greedy_hybrid,5.4499992984347045e-05,
60,greedy_value_density,2.6670022634789348e-06,
60,greedy_value_only,3.0420051189139485e-06,
60,greedy_weight_only,2.4999899324029684e-06,
60,improved_greedy,0.00011350000568199903,
60,knapsack_dp,0.005793999996967614,
80,greedy_hybrid,7.125000411178917e-05,
80,greedy_value_density,3.1669915188103914e-06,
80,greedy_value_only,3.6249984987080097e-06,
80,greedy_weight_only,4.375004209578037e-06,
80,improved_greedy,0.00019762500596698374,
80,knapsack_dp,0.010728041990660131,
100,greedy_hybrid,9.479199070483446e-05,
100,greedy_value_density,5.6670105550438166e-06,
100,greedy_value_only,3.665991243906319e-06,
100,greedy_weight_only,5.875001079402864e-06,
100,improved_greedy,0.00028879099409095943,
100,knapsack_dp,0.01759779200074263,
120,greedy_hybrid,0.00011833300231955945,
120,greedy_value_density,4.3330073822289705e-06,
120,greedy_value_only,5.249996320344508e-06,
120,greedy_weight_only,4.542001988738775e-06,
120,improved_greedy,0.00041199999395757914,
140,greedy_hybrid,0.0001359169982606545,
140,greedy_value_density,5.207999492995441e-06,
140,greedy_value_only,5.49999822396785e-06,
140,greedy_weight_only,7.333001121878624e-06,
140,improved_greedy,0.0005517910030903295,
160,greedy_hybrid,0.0001519170036772266,
160,greedy_value_density,5.875001079402864e-06,
160,greedy_value_only,5.750000127591193e-06,
160,greedy_weight_only,6.333997589536011e-06,
160,improved_greedy,0.0006972499977564439,
180,greedy_hybrid,0.00017924999701790512,
180,greedy_value_density,8.125003660097718e-06,
180,greedy_value_only,7.124996045604348e-06,
180,greedy_weight_only,7.374997949227691e-06,
180,improved_greedy,0.0008586250041844323,
200,greedy_hybrid,0.00019983301172032952,
200,greedy_value_density,9.791998309083283e-06,
200,greedy_value_only,1.0082992957904935e-05,
200,greedy_weight_only,1.0500007192604244e-05,
200,improved_greedy,0.001017207992845215,
