instance,algorithm,value,optimal_value,approximation_ratio,execution_time,problem_size
random_1,greedy_value_density,376,376,1.0,2.040993422269821e-06,20
random_1,greedy_value_only,376,376,1.0,1.3750104699283838e-06,20
random_1,greedy_weight_only,342,376,0.9095744680851063,1.2079981388524175e-06,20
random_1,greedy_hybrid,376,376,1.0,2.270900586154312e-05,20
random_1,improved_greedy,407,376,1.0824468085106382,2.649999805726111e-05,20
random_1,knapsack_dp,376,376,1.0,0.0004342920001363382,20
random_2,greedy_value_density,396,396,1.0,1.0829971870407462e-06,20
random_2,greedy_value_only,394,396,0.9949494949494949,7.499911589547992e-07,20
random_2,greedy_weight_only,321,396,0.8106060606060606,8.329952834174037e-07,20
random_2,greedy_hybrid,396,396,1.0,1.937500201165676e-05,20
random_2,improved_greedy,442,396,1.1161616161616161,2.4583001504652202e-05,20
random_2,knapsack_dp,396,396,1.0,0.0004162499972153455,20
random_3,greedy_value_density,470,472,0.9957627118644068,8.749921107664704e-07,20
random_3,greedy_value_only,472,472,1.0,9.169889381155372e-07,20
random_3,greedy_weight_only,430,472,0.9110169491525424,8.750066626816988e-07,20
random_3,greedy_hybrid,472,472,1.0,1.9499988411553204e-05,20
random_3,improved_greedy,507,472,1.0741525423728813,2.229199162684381e-05,20
random_3,knapsack_dp,472,472,1.0,0.0005190000083530322,20
random_4,greedy_value_density,312,324,0.9629629629629629,7.079943316057324e-07,20
random_4,greedy_value_only,214,324,0.6604938271604939,5.420006345957518e-07,20
random_4,greedy_weight_only,292,324,0.9012345679012346,6.67001586407423e-07,20
random_4,greedy_hybrid,312,324,0.9629629629629629,1.7958998796530068e-05,20
random_4,improved_greedy,352,324,1.0864197530864197,2.2415988496504724e-05,20
random_4,knapsack_dp,324,324,1.0,0.00013537499762605876,20
random_5,greedy_value_density,424,424,1.0,1.0420044418424368e-06,20
random_5,greedy_value_only,424,424,1.0,1.00000761449337e-06,20
random_5,greedy_weight_only,424,424,1.0,9.590003173798323e-07,20
random_5,greedy_hybrid,424,424,1.0,1.925000105984509e-05,20
random_5,improved_greedy,424,424,1.0,1.5249999705702066e-05,20
random_5,knapsack_dp,424,424,1.0,0.0005129999917699024,20
random_6,greedy_value_density,500,500,1.0,8.750066626816988e-07,20
random_6,greedy_value_only,500,500,1.0,8.33999365568161e-07,20
random_6,greedy_weight_only,441,500,0.882,8.33999365568161e-07,20
random_6,greedy_hybrid,500,500,1.0,1.895899185910821e-05,20
random_6,improved_greedy,547,500,1.094,2.1791987819597125e-05,20
random_6,knapsack_dp,500,500,1.0,0.0002791250008158386,20
random_7,greedy_value_density,355,355,1.0,7.90998456068337e-07,20
random_7,greedy_value_only,355,355,1.0,7.500057108700275e-07,20
random_7,greedy_weight_only,300,355,0.8450704225352113,7.920025382190943e-07,20
random_7,greedy_hybrid,355,355,1.0,1.8457998521625996e-05,20
random_7,improved_greedy,402,355,1.1323943661971831,2.3208005586639047e-05,20
random_7,knapsack_dp,355,355,1.0,0.00033400001120753586,20
random_8,greedy_value_density,443,446,0.9932735426008968,9.170034900307655e-07,20
random_8,greedy_value_only,426,446,0.9551569506726457,7.920025382190943e-07,20
random_8,greedy_weight_only,418,446,0.9372197309417041,7.919879863038659e-07,20
random_8,greedy_hybrid,443,446,0.9932735426008968,1.8791004549711943e-05,20
random_8,improved_greedy,486,446,1.0896860986547086,2.2833002731204033e-05,20
random_8,knapsack_dp,446,446,1.0,0.0003436670085648075,20
random_9,greedy_value_density,314,314,1.0,7.079943316057324e-07,20
random_9,greedy_value_only,299,314,0.9522292993630573,6.659975042566657e-07,20
random_9,greedy_weight_only,252,314,0.802547770700637,6.67001586407423e-07,20
random_9,greedy_hybrid,314,314,1.0,1.8457998521625996e-05,20
random_9,improved_greedy,359,314,1.143312101910828,2.21250083995983e-05,20
